name,openPrice,high_low,close,prevCloseDate,marketCap,sharesOutstanding,float,normalizedEPS,mthvwap,unadjVWAP,adjVWAP,peratio,price/Sales,price/CF,pricebookvalue,dividend,divident_5_yr_avg,debt,long term debt/equity,enterpriseValue,assets,cash,roe,roa,capEx,EBIT,revenue,operating_income,operating_margin,netincome,net_profit_margin,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,ebita,industry
Sin Ghee Huat,0.225,0.225,-,26 Jul 2019,49.95M,222.00M,25.04%,0.00,4.44M,SGD 0.23084,SGD 0.22227,28.090,1.015,16.835,0.591,1.333,3.404,-18.82M,-,25.68M,89.39M,26.27M,0.038,2.028,-0.06M,-,49.21M,-0.05M,4.189,1.78M,3.611,-8.878,-62.677,-,Basic Materials / Misc. Fabricated Products / 
Sincap,0.007,0.007,-,26 Jul 2019,11.91M,1.70B,55.20%,-0.00,12.42M,SGD 0.00946,SGD 0.00946,-,0.224,19.771,0.279,-,-,9.65M,28.454,21.56M,282.36M,13.00M,-0.403,1.091,-0.08M,-,53.20M,4.19M,1.567,-0.15M,1.048,-42.686,-,-,Basic Materials / Metal Mining / 
PanUnited,0.330,0.335,-,26 Jul 2019,235.17M,700.89M,31.59%,0.01,3.27M,SGD 0.2802,SGD 0.2802,27.640,0.278,8.128,1.209,3.881,-,94.40M,33.514,313.74M,421.85M,47.89M,2.333,2.113,-11.42M,-,845.24M,11.47M,1.851,8.48M,1.063,0.554,-34.797,-,Capital Goods / Construction - Raw Materials / 
SLB Dev,0.140,0.120,-,26 Jul 2019,109.56M,913.00M,16.82%,0.00,0.31M,SGD 0.14624,SGD 0.14624,-,25.521,-,0.743,-,-,54.21M,25.122,200.96M,459.85M,26.23M,3.809,-,-0.04M,-,4.29M,1.12M,-122.688,-12.29M,-305.917,-,-,-,Capital Goods / Construction Services / 
Sapphire,0.100,0.100,-,26 Jul 2019,40.76M,407.59M,35.69%,0.01,1.95M,SGD 0.11741,SGD 0.11741,10.445,0.114,2.816,0.322,1.000,-,24.57M,5.501,55.09M,"2,175.91M",209.76M,3.254,0.813,-60.18M,-,356.21M,50.57M,2.862,3.12M,0.900,772.316,-,-,Capital Goods / Construction Services / 
IHH,1.890,1.890,-,26 Jul 2019,"50,011.75M",8.77B,48.22%,0.07,114.27M,SGD 1.86181,SGD 1.84623,84.170,4.063,33.616,2.074,0.526,0.517,"6,116.10M",38.634,"52,436.43M","45,114.51M","8,110.58M",2.248,1.064,"-1,046.73M",-,"12,308.67M","1,542.94M",14.009,573.23M,3.670,10.884,-3.338,-,Healthcare / Healthcare Facilities / 
Koda,0.650,0.650,-,26 Jul 2019,53.78M,82.51M,30.42%,0.11,0.12M,SGD 0.69736,SGD 0.69736,5.989,0.689,5.065,1.064,1.538,1.668,-13.92M,1.325,40.33M,43.91M,10.50M,18.297,15.048,-2.90M,-,78.08M,6.25M,12.280,8.93M,11.432,4.690,64.584,-,Consumer Cyclical / Furniture & Fixtures / 
Grand Venture,0.235,0.235,-,26 Jul 2019,55.05M,234.25M,11.56%,0.02,0.90M,SGD 0.22842,SGD 0.22842,8.905,1.343,6.565,2.727,-,-,21.91M,87.890,76.95M,51.35M,2.47M,40.884,10.404,-5.17M,-,41.00M,6.83M,16.663,4.69M,11.434,-,-,-,Basic Materials / Misc. Fabricated Products / 
Bonvests,1.270,1.280,-,26 Jul 2019,513.94M,401.52M,12.39%,0.03,0.08M,SGD 1.28468,SGD 1.28468,69.339,2.295,14.298,0.584,1.250,1.245,261.19M,7.561,767.52M,"1,284.84M",63.97M,1.383,0.639,-54.97M,-,223.99M,24.95M,9.174,7.41M,3.567,4.110,-26.353,-,Services / Hotels & Motels / 
LionGold,0.001,0.001,-,26 Jul 2019,8.70M,8.70B,85.31%,0.00,104.28M,SGD 0.00102,SGD 0.00102,7.143,0.124,0.780,0.633,-,-,10.84M,116.291,19.54M,41.95M,5.58M,8.376,0.681,-9.94M,-,70.14M,1.21M,1.724,1.22M,0.398,-34.584,-,-,Basic Materials / Gold & Silver / 
Sinarmas Land,0.250,0.250,-,26 Jul 2019,"1,137.33M",4.26B,29.17%,0.03,1.86M,SGD 0.25018,SGD 0.25018,7.921,1.297,3.582,0.489,6.000,1.214,836.75M,87.190,"2,028.07M","6,560.53M",961.48M,5.687,3.818,-208.88M,-,877.03M,332.95M,40.771,134.33M,30.364,-5.942,-16.177,-,Capital Goods / Construction Services / 
Karin Tech,0.315,0.315,-,26 Jul 2019,67.65M,214.75M,9.73%,0.02,0.28M,SGD 0.3174,SGD 0.3174,10.546,0.192,8.708,0.933,10.245,9.613,28.79M,-,82.68M,897.73M,54.21M,6.595,3.644,-3.65M,-,353.19M,37.46M,2.339,6.41M,1.714,-12.239,-13.026,-,Services / Retail (Technology) / 
Silkroad Nickel,0.280,0.295,-,26 Jul 2019,37.50M,127.10M,20.40%,-0.04,0.05M,SGD 0.36569,SGD 0.36569,-,4.592,-,2.326,-,-,0.47M,0.088,37.62M,15.11M,0.09M,-49.206,-39.977,-1.47M,-,8.16M,-4.71M,-83.449,-6.98M,-85.508,-41.038,-,-,Basic Materials / Misc. Fabricated Products / 
LHT,0.555,0.560,-,26 Jul 2019,29.82M,53.24M,21.93%,0.06,0.30M,SGD 0.63338,SGD 0.63338,8.712,0.696,4.617,0.574,5.357,6.449,-28.91M,0.577,0.91M,60.89M,29.42M,6.631,5.688,-1.86M,-,42.84M,3.93M,9.175,3.42M,7.991,1.227,12.912,-,Basic Materials / Containers & Packaging / 
New Wave,0.008,0.006,-,26 Jul 2019,10.36M,1.73B,32.30%,-0.00,3.37M,SGD 0.00712,SGD 0.00712,-,0.563,-,0.506,-,-,2.11M,4.970,12.58M,27.23M,2.09M,-7.495,-4.243,-0.15M,-,18.41M,-1.20M,-4.205,-1.22M,-6.627,-7.682,-,-,Basic Materials / Metal Mining / 
Del Monte Pac,0.151,0.150,-,26 Jul 2019,791.55M,1.94B,10.45%,0.01,1.60M,SGD 0.13958,SGD 0.13958,10.684,0.296,3.868,0.382,4.707,2.372,"1,991.89M",176.677,"2,783.44M","2,398.69M",21.64M,3.738,0.580,-94.25M,-,"2,672.47M",80.12M,4.099,27.78M,0.728,-,-,-,Consumer/Non-Cyclical / Food Processing / 
Sin Heng Mach,0.295,0.295,-,26 Jul 2019,33.89M,114.01M,12.18%,-0.04,0.28M,SGD 0.30113,SGD 0.30113,-,0.391,4.891,0.298,-,-,-1.67M,10.205,32.22M,151.48M,21.17M,-5.576,-3.598,-4.11M,-,86.68M,-5.82M,-6.718,-6.48M,-7.148,-,-,-,Capital Goods / Constr. & Agric. Machinery / 
GP Industries,0.620,0.620,-,26 Jul 2019,323.24M,484.47M,7.68%,0.06,1.07M,SGD 0.58603,SGD 0.58603,10.302,0.277,4.414,0.815,4.839,4.884,252.54M,48.405,575.78M,"1,242.21M",247.48M,7.825,3.818,-49.57M,-,"1,167.14M",62.25M,5.334,29.16M,3.944,5.027,-,-,Consumer Cyclical / Audio & Video Equipment / 
China Jishan,0.082,0.100,-,26 Jul 2019,30.15M,301.50M,15.90%,0.01,0.18M,SGD 0.10865,SGD 0.10865,12.754,4.017,9.686,0.832,-,-,59.88M,-,85.81M,708.03M,27.65M,6.723,1.714,-5.01M,-,7.50M,16.33M,43.851,2.36M,31.502,-38.695,-,-,Consumer Cyclical / Textiles - Non Apparel / 
Ntegrator Intl,0.008,0.007,-,26 Jul 2019,7.48M,1.07B,81.93%,-0.00,13.75M,SGD 0.00665,SGD 0.00665,-,0.232,-,0.420,-,-,14.33M,2.012,21.81M,45.27M,6.95M,-4.960,-3.208,-0.11M,-,32.17M,-1.59M,-4.930,-0.89M,-4.908,-15.331,-,-,Technology / Computer Services / 
SamuderaShipping,0.161,0.163,-,26 Jul 2019,87.88M,538.04M,28.51%,0.02,0.46M,SGD 0.16333,SGD 0.16333,8.268,0.152,3.470,0.339,4.601,3.149,18.65M,18.427,109.68M,289.83M,28.80M,3.805,2.468,-4.17M,-,579.32M,8.55M,2.010,10.60M,1.744,1.545,-,-,Transportation / Water Transportation / 
Nordic,0.285,0.290,-,26 Jul 2019,116.00M,392.52M,20.51%,0.03,1.18M,SGD 0.31119,SGD 0.31119,11.453,1.311,9.115,1.369,5.697,3.471,2.94M,7.180,117.57M,151.86M,39.23M,14.371,6.626,-10.39M,-,88.49M,12.16M,12.138,9.95M,11.240,7.105,13.561,-,Basic Materials / Misc. Fabricated Products / 
EcoWise,0.027,0.028,-,26 Jul 2019,26.81M,956.49M,43.69%,-0.01,4.17M,SGD 0.02972,SGD 0.02967,-,0.479,-,0.725,-,-,13.91M,15.033,41.27M,80.09M,3.94M,-11.947,-5.137,-2.69M,-,55.98M,-3.64M,-5.016,-4.36M,-7.535,-6.739,-,-,Services / Waste Management Services / 
GSH,0.400,0.410,-,26 Jul 2019,810.58M,1.96B,17.18%,0.00,4.20M,SGD 0.29444,SGD 0.31514,155.303,7.960,43.109,2.089,3.049,-,326.19M,81.467,"1,171.85M","1,045.43M",92.10M,1.491,0.772,-14.24M,-,101.83M,22.86M,14.535,5.16M,7.983,-,-,-,Services / Hotels & Motels / 
Advancer Global,0.138,0.135,-,26 Jul 2019,34.07M,251.35M,10.93%,0.01,0.34M,SGD 0.15351,SGD 0.15351,18.048,0.506,12.944,0.776,2.963,-,-24.82M,2.345,9.25M,53.26M,26.01M,4.087,3.183,-0.76M,-,67.28M,1.51M,2.249,1.34M,2.073,9.362,-15.554,-,Services / Business Services / 
Global Testing,0.565,0.520,-,26 Jul 2019,18.31M,35.20M,75.38%,-0.20,0.12M,SGD 0.66052,SGD 0.66052,-,0.594,4.621,0.395,17.308,-,-2.79M,4.499,15.20M,44.70M,5.04M,-12.589,-12.036,-2.41M,-,30.81M,-3.59M,-17.932,-7.73M,-25.094,-7.873,-,-,Technology / Semiconductors / 
Intraco,0.245,0.245,-,26 Jul 2019,25.41M,103.73M,30.54%,0.02,0.14M,SGD 0.26467,SGD 0.26467,10.082,0.165,8.313,0.371,-,-,-30.99M,1.135,-5.58M,102.50M,40.59M,3.729,2.550,-4.47M,-,153.86M,1.46M,0.948,2.52M,1.638,2.742,15.979,-,Basic Materials / Fabricated Plastic & Rubber / 
Avarga,0.195,0.189,-,26 Jul 2019,179.57M,947.07M,43.05%,0.01,6.55M,SGD 0.22628,SGD 0.22628,6.686,0.117,3.808,0.783,18.519,6.596,247.93M,29.333,315.75M,512.20M,22.37M,5.500,5.428,-5.41M,-,"1,529.73M",31.13M,2.836,25.65M,2.144,98.172,61.643,-,Basic Materials / Paper & Paper Products / 
MS Hldgs,0.048,0.055,-,26 Jul 2019,9.12M,165.79M,5.55%,0.00,1.17M,SGD 0.05469,SGD 0.05469,117.021,0.631,2.666,0.339,-,-,26.66M,70.396,35.78M,61.99M,4.15M,0.260,0.122,-0.42M,-,14.46M,1.11M,7.656,0.07M,0.512,-12.373,-58.560,-,Services / Rental & Leasing / 
Koh Bros,0.220,0.220,-,26 Jul 2019,96.36M,412.46M,37.90%,0.01,0.68M,SGD 0.2285,SGD 0.2285,13.580,0.232,4.442,0.307,2.727,1.685,269.59M,88.042,337.79M,799.21M,80.63M,2.336,1.140,-17.33M,-,415.07M,10.24M,2.353,6.69M,2.126,4.477,-19.250,-,Capital Goods / Construction Services / 
Riverstone,0.920,0.915,-,26 Jul 2019,679.34M,741.08M,34.67%,0.06,4.61M,SGD 1.02633,SGD 1.02138,15.840,2.147,11.899,2.760,2.430,2.098,-36.75M,1.834,653.75M,872.86M,97.01M,19.333,15.132,-126.15M,-,316.35M,151.07M,15.863,42.82M,13.534,20.239,16.918,-,Healthcare / Medical Equipment & Supplies / 
Ying Li Intl,0.132,0.131,-,26 Jul 2019,334.97M,2.56B,54.41%,0.00,11.22M,SGD 0.13765,SGD 0.13327,20.216,2.573,7.289,0.317,-,-,523.58M,40.634,914.82M,"10,241.25M",379.06M,4.742,2.169,-0.48M,-,130.21M,494.09M,71.775,45.49M,34.358,-2.361,-3.399,-,Capital Goods / Construction Services / 
The Place Hldg,0.022,0.021,-,26 Jul 2019,123.49M,5.88B,8.88%,0.00,3.66M,SGD 0.02059,SGD 0.02059,50.000,64.758,49.536,1.330,-,-,-89.14M,-,33.61M,93.67M,89.88M,2.074,2.628,-0.05M,-,1.91M,-0.46M,-30.519,2.44M,127.950,-69.478,-,-,Technology / Semiconductors / 
IPS Securex,0.030,0.035,-,26 Jul 2019,17.01M,484.84M,23.29%,-0.00,0.06M,SGD 0.04555,SGD 0.04555,-,1.650,-,2.372,-,-,-4.29M,0.913,13.93M,11.15M,3.58M,-15.278,-16.555,-0.13M,-,10.31M,-1.26M,-20.060,-1.98M,-19.158,-2.232,-,-,Technology / Communications Equipment / 
