name,openPrice,high_low,close,prevCloseDate,marketCap,sharesOutstanding,float,normalizedEPS,mthvwap,unadjVWAP,adjVWAP,peratio,price/Sales,price/CF,pricebookvalue,dividend,divident_5_yr_avg,debt,long term debt/equity,enterpriseValue,assets,cash,roe,roa,capEx,EBIT,revenue,operating_income,operating_margin,netincome,net_profit_margin,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,ebita,industry
MMP Resources,0.004,0.004,-,26 Jul 2019,9.37M,2.34B,61.12%,-0.00,46.35M,SGD 0.00458,SGD 0.00458,-,43.399,-,-,-,-,6.36M,-,15.60M,2.16M,0.19M,-,-98.122,-0.15M,-,0.22M,-2.23M,"-1,100.463",-2.38M,"-1,100.463",-,-,-,Capital Goods / Construction Services / 
Aoxin Q & M,0.194,0.194,-,26 Jul 2019,74.03M,381.57M,18.51%,-0.00,0.45M,SGD 0.20095,SGD 0.20095,-,-,-,1.534,-,-,2.98M,-,64.20M,265.77M,50.32M,-0.188,-,-33.89M,-,-,0.40M,-,-,-,199.729,-,-,Healthcare / Healthcare Facilities / 
Vividthree,0.142,0.160,-,26 Jul 2019,53.44M,334.01M,21.54%,0.01,2.10M,SGD 0.17343,SGD 0.17177,16.343,5.756,14.720,2.103,-,-,-4.38M,-,49.06M,28.47M,4.38M,19.320,-,-1.56M,-,9.28M,4.09M,44.042,3.27M,35.196,-,-,-,Services / Motion Pictures / 
Grand Banks,0.260,0.270,-,26 Jul 2019,49.74M,184.23M,31.32%,0.05,0.15M,SGD 0.27976,SGD 0.27976,4.982,0.692,4.521,0.888,1.852,-,12.61M,8.326,46.87M,82.25M,8.44M,18.693,9.361,-8.27M,-,71.90M,5.77M,7.537,7.62M,10.595,9.788,-,-,Consumer Cyclical / Recreational Products / 
Manhattan Res,0.032,0.032,-,26 Jul 2019,36.38M,1.14B,81.24%,-0.01,7.77M,SGD 0.02814,SGD 0.02814,2.408,1.442,3.481,0.380,-,-,-39.66M,14.122,-9.68M,253.73M,66.22M,4.253,1.781,-2.79M,-,25.23M,10.20M,41.899,4.29M,16.706,2.418,6.948,-,Transportation / Misc. Transportation / 
ICP Ltd,0.009,0.008,-,26 Jul 2019,24.89M,3.11B,63.47%,-0.00,16.37M,SGD 0.00806,SGD 0.00806,-,6.133,-,0.834,-,-,18.38M,67.429,39.71M,60.35M,4.54M,-11.042,-6.219,-31.13M,-,4.06M,-2.96M,-77.088,-3.27M,-77.753,29.784,-,-,Basic Materials / Misc. Fabricated Products / 
CosmoSteel,0.083,0.083,-,26 Jul 2019,24.10M,290.40M,40.31%,-0.11,4.17M,SGD 0.06534,SGD 0.06534,-,0.281,-,0.322,-,-,21.75M,9.231,38.87M,112.01M,14.35M,-36.496,-22.186,-7.84M,-,85.85M,-34.02M,-35.388,-28.68M,-33.401,-13.646,-,-,Basic Materials / Misc. Fabricated Products / 
SK Jewellery,0.092,0.090,-,26 Jul 2019,50.63M,562.50M,12.51%,0.01,0.43M,SGD 0.10459,SGD 0.09776,9.385,0.248,3.488,0.811,5.556,-,49.11M,32.528,75.00M,121.15M,16.88M,9.053,3.637,-3.57M,-,204.12M,9.41M,4.350,5.40M,2.529,8.276,-7.744,-,Basic Materials / Misc. Fabricated Products / 
Uni-Asia Grp,0.740,0.740,-,26 Jul 2019,58.16M,78.60M,46.97%,0.02,1.93M,SGD 1.0865,SGD 1.0865,24.841,0.354,2.473,0.314,5.631,4.429,519.22M,87.651,233.22M,334.22M,52.67M,0.966,0.899,-1.30M,-,164.14M,11.86M,12.329,2.10M,3.547,9.298,-25.696,-,Services / Real Estate Operations / 
EnGro,0.925,0.925,-,26 Jul 2019,109.80M,118.62M,33.90%,0.05,0.16M,SGD 0.86347,SGD 0.86347,13.154,0.785,8.386,0.470,2.703,2.664,-37.69M,0.781,70.80M,257.23M,43.72M,2.665,3.342,-1.40M,-,139.86M,-2.21M,-0.711,8.35M,6.045,-2.811,-25.506,-,Capital Goods / Construction - Raw Materials / 
UOA,0.700,0.700,-,26 Jul 2019,377.85M,1.43B,8.34%,0.07,1.14M,SGD 0.64479,SGD 0.64479,10.485,0.678,2.257,0.738,2.318,4.746,-193.90M,0.344,165.33M,"2,583.50M",341.18M,7.431,6.506,-29.83M,-,556.90M,204.05M,36.640,100.84M,28.770,1.268,-4.166,-,Capital Goods / Construction Services / 
Samurai,0.860,0.870,-,26 Jul 2019,95.63M,109.92M,23.18%,0.03,0.12M,SGD 0.88977,SGD 0.88977,27.558,3.963,24.290,3.877,0.575,-,-5.37M,5.137,90.26M,103.11M,29.97M,14.920,10.295,-9.20M,-,24.13M,13.71M,18.887,3.47M,13.963,32.876,47.972,-,Basic Materials / Chemical Manufacturing / 
Raffles Infrastructure,0.400,0.460,-,26 Jul 2019,31.26M,67.95M,8.54%,-0.04,0.07M,SGD 0.2988,SGD 0.2988,44.557,4.646,-,0.960,-,-,-22.70M,-,8.57M,365.47M,114.07M,-16.834,-7.080,-0.33M,-,6.73M,-11.12M,-32.866,-3.02M,-42.283,-34.711,-,-,Consumer Cyclical / Textiles - Non Apparel / 
Cheung Woh,0.138,0.139,-,26 Jul 2019,43.52M,302.21M,19.15%,-0.01,0.65M,SGD 0.11762,SGD 0.11762,-,0.642,-,0.521,1.079,-,-15.40M,0.564,28.43M,98.57M,20.70M,-10.416,-9.218,-1.45M,-,67.79M,-7.41M,-12.768,-10.18M,-15.011,5.305,-,-,Capital Goods / Misc. Capital Goods / 
King Wan,0.102,0.108,-,26 Jul 2019,37.71M,349.18M,38.62%,0.01,0.56M,SGD 0.10862,SGD 0.10862,15.882,0.475,11.522,0.541,-,-,10.95M,1.909,48.66M,121.90M,5.28M,3.410,1.900,-0.12M,-,79.32M,3.92M,4.941,2.37M,2.992,-3.622,-18.823,-,Capital Goods / Construction Services / 
Sitra,0.009,0.009,-,26 Jul 2019,6.76M,751.20M,31.29%,-0.00,10.18M,SGD 0.00867,SGD 0.00867,-,0.489,-,0.632,-,-,-7.93M,0.056,-1.17M,16.45M,9.45M,-25.058,-17.828,-0.01M,-,13.82M,-2.97M,-21.484,-2.98M,-21.484,-13.666,-,-,Consumer Cyclical / Furniture & Fixtures / 
ASTI,0.029,0.030,-,26 Jul 2019,20.46M,654.73M,59.41%,-0.00,2.65M,SGD 0.04194,SGD 0.04194,0.730,0.307,0.819,0.269,-,-,-9.22M,2.463,2.50M,109.34M,23.26M,32.935,15.221,-14.68M,-,66.70M,18.94M,28.647,22.11M,26.704,-8.117,-,-,Technology / Semiconductors / 
G K Goh,0.845,0.845,-,26 Jul 2019,274.46M,324.81M,29.06%,-0.01,0.30M,SGD 0.86517,SGD 0.86517,-,2.820,42.572,0.637,2.367,3.630,118.38M,17.402,376.58M,668.63M,65.79M,-0.969,-0.128,-9.85M,-,97.31M,-4.52M,-1.437,-1.37M,-0.890,16.906,-,-,Financial / Investment Services / 
Ossia Intl,0.097,0.120,-,26 Jul 2019,30.32M,252.63M,20.80%,0.02,0.31M,SGD 0.0945,SGD 0.09454,8.715,1.618,7.256,0.773,6.417,1.537,1.44M,-,31.75M,51.50M,5.80M,10.071,6.916,-1.65M,-,18.74M,-0.18M,1.938,3.48M,18.591,-15.457,-,-,Consumer Cyclical / Recreational Products / 
Jasper Inv,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
UOB Kay Hian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Tat Seng Pkg,0.515,0.515,-,26 Jul 2019,80.96M,157.20M,17.34%,0.13,0.60M,SGD 0.57582,SGD 0.57582,4.187,0.243,2.884,0.629,5.825,5.340,27.68M,14.374,108.63M,303.04M,59.49M,15.738,7.403,-30.44M,-,333.33M,27.61M,8.282,19.34M,6.339,9.105,10.314,-,Basic Materials / Containers & Packaging / 
Ban Leong,0.250,0.250,-,26 Jul 2019,29.13M,114.60M,15.38%,0.03,0.11M,SGD 0.24987,SGD 0.24987,8.151,0.185,7.205,0.951,6.000,-,-9.39M,0.572,19.74M,66.40M,13.49M,11.787,5.698,-0.25M,-,157.61M,4.60M,2.918,3.49M,2.349,4.609,20.500,-,Technology / Computer Hardware / 
Procurri,0.320,0.320,-,26 Jul 2019,91.10M,284.69M,32.58%,0.02,6.49M,SGD 0.31747,SGD 0.31753,14.974,0.406,5.887,2.156,-,-,8.80M,5.930,87.11M,141.33M,18.08M,8.033,4.277,-3.49M,-,224.56M,10.76M,5.075,6.09M,2.711,42.095,15.090,-,Technology / Computer Services / 
Bund Center,0.575,0.580,-,26 Jul 2019,441.08M,758.77M,15.21%,0.03,0.27M,SGD 0.57797,SGD 0.57797,16.816,3.811,11.204,0.980,3.793,6.981,-149.86M,0.021,429.00M,498.96M,12.25M,6.194,5.394,-1.08M,-,115.74M,35.41M,29.435,26.17M,23.391,-0.112,-2.546,-,Services / Real Estate Operations / 
GDS Global,0.140,0.350,-,26 Jul 2019,39.20M,112.00M,16.49%,-0.01,0.00M,SGD 0.1389,SGD 0.1389,-,2.714,-,2.293,1.429,-,-9.38M,-,29.04M,23.56M,10.16M,-5.047,-10.441,-0.16M,-,14.45M,-1.05M,-16.807,-2.74M,-16.379,1.274,-,-,Capital Goods / Constr. - Supplies & Fixtures / 
Boldtek,0.100,0.100,-,26 Jul 2019,18.56M,185.63M,13.08%,0.00,0.10M,SGD 0.093,SGD 0.093,22.989,0.179,9.099,0.648,-,-,18.95M,7.938,39.17M,81.50M,3.38M,2.242,0.846,-0.15M,-,103.69M,1.42M,1.569,0.81M,0.713,-4.766,-37.359,-,Capital Goods / Construction Services / 
Star Pharm,0.175,0.175,-,26 Jul 2019,8.19M,45.88M,32.39%,0.05,0.10M,SGD 0.15646,SGD 0.15646,3.451,0.138,2.240,0.264,-,-,-11.85M,-,-9.13M,272.85M,87.07M,8.349,4.457,-7.28M,-,59.31M,7.10M,2.708,2.35M,3.958,22.561,26.124,-,Healthcare / Major Drugs / 
Dukang,0.088,0.095,-,26 Jul 2019,7.58M,79.83M,41.86%,-0.35,0.03M,SGD 0.16919,SGD 0.16195,-,0.314,-,0.037,-,-,-1.00M,-,-4.36M,"1,379.96M",175.04M,-18.506,-16.684,-1.28M,-,24.14M,-212.17M,-191.099,-47.99M,-198.825,-42.708,-,-,Consumer/Non-Cyclical / Beverages (Alcoholic) / 
Trek 2000 Intl,0.089,0.089,-,26 Jul 2019,28.85M,322.89M,15.48%,-0.02,0.35M,SGD 0.09404,SGD 0.09404,-,0.812,-,0.467,11.236,-,-36.70M,-,-15.06M,49.55M,32.12M,-7.707,-7.369,-0.02M,-,35.51M,-3.12M,-13.853,-5.64M,-16.153,-17.870,-,-,Technology / Computer Storage Devices / 
VibroPower,0.120,0.120,-,26 Jul 2019,4.44M,35.95M,50.82%,0.02,0.16M,SGD 0.1172,SGD 0.1172,9.631,0.287,3.684,0.255,-,-,6.94M,14.156,11.39M,34.07M,1.59M,2.687,1.661,-0.09M,-,15.48M,0.76M,4.935,0.45M,3.618,-14.165,3.502,-,Technology / Electronic Instr. & Controls / 
Blumont,0.002,0.002,-,26 Jul 2019,55.14M,27.57B,16.51%,-0.00,25.34M,SGD 0.00246,SGD 0.00246,-,14.574,-,16.343,-,-,5.26M,151.233,60.02M,12.32M,0.79M,-4.539,-7.744,-0.50M,-,3.78M,0.63M,-7.369,-1.09M,-26.238,-38.374,-,-,Services / Business Services / 
Hoe Leong,0.004,0.004,-,26 Jul 2019,22.48M,5.62B,10.95%,0.00,1.96M,SGD 0.00397,SGD 0.00397,1.325,0.303,1.769,0.975,-,-,32.09M,80.405,42.14M,72.78M,3.26M,-,13.457,-1.07M,-,74.11M,11.28M,15.377,9.67M,13.048,-37.356,-,-,Basic Materials / Misc. Fabricated Products / 
Ouhua Energy,0.018,0.018,-,26 Jul 2019,6.90M,383.29M,28.30%,0.01,0.06M,SGD 0.03114,SGD 0.03114,1.470,0.012,0.829,0.184,-,-,25.62M,-,23.82M,491.08M,59.39M,11.923,4.780,-5.39M,-,581.70M,28.69M,1.090,4.69M,0.807,14.592,-,-,Utilities / Natural Gas Utilities / 
Sri Trang Agro,0.565,0.520,-,26 Jul 2019,"19,200.00M",1.54B,100.00%,1.35,0.00M,SGD 0.63953,SGD 0.63953,39.107,0.270,6.238,0.985,5.195,-,"23,137.34M",35.719,"41,529.87M","55,748.11M","4,197.30M",8.671,1.178,"-2,785.69M",-,"71,051.70M","3,050.22M",1.995,604.86M,0.937,-7.166,-0.385,-,Basic Materials / Fabricated Plastic & Rubber / 
Pavillon,0.015,0.015,-,26 Jul 2019,5.82M,387.75M,24.04%,-0.01,0.18M,SGD 0.0172,SGD 0.0172,-,0.405,-,0.180,-,-,-20.74M,0.510,-14.92M,50.27M,20.98M,-30.298,-25.927,-1.82M,-,14.38M,-14.04M,-96.856,-11.19M,-98.470,-,-,-,Financial / Misc. Financial Services / 
Stamford Tyres,0.250,0.265,-,26 Jul 2019,62.59M,236.19M,50.98%,0.00,0.32M,SGD 0.25774,SGD 0.25774,131.841,0.267,8.077,0.506,3.774,3.548,73.88M,22.932,136.47M,249.08M,13.71M,0.379,0.184,-2.60M,-,234.17M,6.10M,2.604,0.47M,0.202,-4.418,-45.685,-,Consumer Cyclical / Tires / 
IPC Corp,0.335,0.345,-,26 Jul 2019,29.43M,85.29M,51.31%,0.31,0.21M,SGD 0.31295,SGD 0.31295,1.183,3.387,1.116,0.276,-,-,-0.66M,4.101,27.59M,117.81M,9.97M,26.397,23.459,-0.36M,-,8.69M,25.62M,292.888,24.81M,285.533,-28.101,6.491,-,Capital Goods / Construction Services / 
Artivision Tech,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Raffles Edu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Eneco Energy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
ValueMax,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Willas-Array,0.615,0.650,-,26 Jul 2019,279.48M,85.21M,79.44%,-0.16,0.12M,SGD 0.56897,SGD 0.56897,-,0.076,-,0.417,6.098,-,728.62M,-,"1,008.10M","2,083.15M",297.53M,-2.735,-0.873,-26.72M,-,"3,687.83M",29.09M,0.789,-18.96M,-0.514,2.542,-,-,Technology / Electronic Instr. & Controls / 
Serial System,0.081,0.081,-,26 Jul 2019,73.37M,895.84M,33.05%,0.02,1.24M,SGD 0.08812,SGD 0.08812,3.393,0.040,2.853,0.377,10.617,6.444,101.00M,2.629,189.44M,521.08M,130.13M,12.875,2.930,-1.80M,-,"1,848.01M",24.16M,1.340,21.39M,1.106,13.314,9.507,-,Technology / Semiconductors / 
A-Sonic Aero,0.205,0.205,-,26 Jul 2019,11.99M,58.48M,41.84%,0.03,0.19M,SGD 0.2177,SGD 0.2177,7.090,0.039,7.153,0.312,-,-,-22.84M,2.088,-14.07M,73.59M,24.47M,5.486,0.305,-0.30M,-,306.00M,0.81M,0.172,1.69M,0.086,-3.904,-,-,Transportation / Air Courier / 
Asia Vets,0.165,0.165,-,26 Jul 2019,22.92M,138.93M,37.07%,-0.02,0.06M,SGD 0.19066,SGD 0.17436,-,15.711,-,1.233,-,-,-11.95M,-,10.98M,21.03M,11.95M,-12.802,-11.861,-0.02M,-,1.46M,-2.31M,-158.619,-2.34M,-160.045,-49.004,-,-,Technology / Semiconductors / 
AVIC,0.091,0.091,-,26 Jul 2019,25.99M,285.58M,24.36%,0.02,3.34M,SGD 0.09131,SGD 0.09389,5.203,0.224,2.592,0.711,-,-,495.58M,331.816,471.53M,"3,106.78M",256.60M,15.927,1.096,-2.17M,-,115.78M,160.00M,27.766,4.99M,6.018,-0.458,66.704,-,Services / Business Services / 
Plato Capital,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
MYP,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
A-Smart,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Top Global,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
POSH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Memories,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
8Telecom,0.047,0.047,-,26 Jul 2019,5.38M,112.48M,62.72%,-0.01,1.49M,SGD 0.03594,SGD 0.03594,-,3.101,-,-,-,-,2.14M,-,7.35M,5.60M,0.18M,-,-44.417,-0.30M,-,1.74M,-1.46M,-72.869,-0.83M,-72.869,-57.952,-,-,Technology / Communications Equipment / 
Arion Ent,0.007,0.009,-,26 Jul 2019,5.61M,622.94M,30.12%,-0.00,0.41M,SGD 0.0071,SGD 0.0071,-,5.629,-,1.913,-,-,-3.16M,-,2.45M,3.41M,3.16M,-57.988,-42.001,-0.01M,-,1.00M,-1.29M,-129.317,-1.31M,-131.928,-59.321,-,-,Services / Printing & Publishing / 
LifeBrandz,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
CPH,0.004,0.005,-,26 Jul 2019,6.15M,1.23B,53.64%,-0.00,3.35M,SGD 0.00606,SGD 0.00606,-,1.269,-,0.554,-,-,-0.71M,0.079,5.53M,12.39M,0.98M,-8.624,-16.520,-0.02M,-,4.84M,-0.97M,-49.197,-2.38M,-49.198,-,-,-,Technology / Semiconductors / 
KLW,0.004,0.003,-,26 Jul 2019,16.14M,5.38B,59.00%,-0.00,42.90M,SGD 0.00334,SGD 0.00334,-,0.533,-,0.218,-,-,-11.70M,4.210,4.44M,95.73M,15.80M,-1.843,-1.547,-0.68M,-,30.29M,-0.76M,-2.506,-1.38M,-4.905,-,-,-,Capital Goods / Constr. - Supplies & Fixtures / 
Oceanus,0.004,0.004,-,26 Jul 2019,97.19M,24.30B,22.82%,0.00,16.27M,SGD 0.0036,SGD 0.0036,80.420,25.232,116.418,4.589,-,-,-17.37M,-,78.64M,205.58M,96.61M,2.482,-0.670,-3.39M,-,3.85M,0.45M,3.714,-0.21M,-7.180,-,-,-,Consumer/Non-Cyclical / Fish/Livestock / 
Reenova Investment,0.003,0.003,-,26 Jul 2019,13.22M,4.41B,63.45%,-0.00,306.12M,SGD 0.00275,SGD 0.00275,-,22.830,-,1.394,-,-,1.01M,14.687,14.03M,20.82M,0.15M,-31.064,-16.062,-0.01M,-,0.58M,-1.94M,-399.820,-2.32M,-399.820,-48.517,-,-,Financial / Investment Services / 
World Class Gbl,0.160,0.160,-,26 Jul 2019,146.54M,915.88M,8.63%,0.03,0.34M,SGD 0.175,SGD 0.175,4.441,0.320,4.541,1.269,-,-,123.32M,49.027,667.55M,696.70M,16.97M,22.736,4.038,-0.38M,-,458.06M,35.83M,10.916,33.00M,7.015,-,-,-,Capital Goods / Construction Services / 
AnnAik,0.061,0.063,-,26 Jul 2019,15.57M,244.77M,47.31%,0.01,0.08M,SGD 0.08499,SGD 0.08499,12.727,0.274,3.772,0.279,3.175,-,26.97M,30.188,42.54M,108.32M,5.47M,2.205,1.257,-2.32M,-,56.77M,0.87M,1.540,1.22M,2.387,1.820,-,-,Capital Goods / Constr. - Supplies & Fixtures / 
Chuan Hup,0.270,0.270,-,26 Jul 2019,250.63M,928.27M,43.24%,0.02,5.25M,SGD 0.34344,SGD 0.34344,16.472,0.718,10.011,0.628,3.704,4.908,-181.35M,-,74.29M,405.66M,136.62M,4.569,3.656,-4.95M,-,349.19M,22.56M,7.471,15.21M,5.699,7.316,-6.282,-,Technology / Electronic Instr. & Controls / 
China Intl,0.480,0.400,-,26 Jul 2019,28.49M,71.23M,18.88%,0.02,0.01M,SGD 0.503,SGD 0.503,58.107,1.657,6.324,0.469,-,-,-10.10M,-,21.28M,648.63M,64.27M,2.312,1.769,-39.72M,-,17.20M,25.36M,21.620,0.49M,13.669,-18.753,-26.049,-,Capital Goods / Construction Services / 
Second Chance,0.245,0.245,-,26 Jul 2019,184.98M,755.03M,20.45%,0.01,1.83M,SGD 0.23421,SGD 0.23421,30.663,5.706,30.053,0.704,1.939,5.358,-2.60M,-,182.08M,305.38M,42.00M,3.032,1.976,-0.01M,-,32.42M,9.46M,32.849,6.03M,18.590,-13.104,-34.896,-,Services / Retail (Apparel) / 
Sinjia Land,0.008,0.021,-,26 Jul 2019,4.03M,177.07M,42.33%,-0.01,0.06M,SGD 0.00957,SGD 0.00957,-,7.667,-,0.322,-,-,-4.67M,1.169,-0.64M,22.56M,4.85M,-26.388,-14.019,-,-,0.53M,-3.39M,-644.297,-3.55M,-644.297,-51.851,-,-,Capital Goods / Misc. Capital Goods / 
CH Offshore,0.081,0.081,-,26 Jul 2019,57.11M,704.89M,7.23%,-,0.25M,SGD 0.08175,SGD 0.08175,-,4.306,-,0.463,-,-,4.75M,3.303,61.86M,116.71M,4.25M,-,-22.948,-1.10M,-,13.26M,-18.29M,-211.049,-39.36M,-296.733,-,-,-,Energy / Oil Well Services & Equipment / 
BMM,0.007,0.007,-,26 Jul 2019,3.71M,529.41M,53.27%,-,3.23M,SGD 0.00711,SGD 0.00711,-,-,-,-,-,-,-0.27M,-,3.44M,82.97M,2.00M,-,-,-0.05M,-,-,-20.05M,-,-,-,-,-,-,Basic Materials / Chemicals - Plastics & Rubber / 
MDR,0.001,0.001,-,26 Jul 2019,65.14M,65.13B,31.11%,0.00,126.77M,SGD 0.00107,SGD 0.00107,12.500,0.242,10.699,0.483,3.100,1.801,12.95M,0.315,72.06M,160.77M,8.45M,2.681,2.377,-1.50M,-,269.53M,2.60M,1.299,3.44M,1.257,-18.553,-18.611,-,Technology / Communications Equipment / 
Soilbuild Const,0.066,0.066,-,26 Jul 2019,55.52M,841.24M,11.35%,-0.00,0.82M,SGD 0.08528,SGD 0.08528,-,0.257,-,0.570,-,-,54.77M,-,91.82M,231.62M,15.25M,-4.031,-2.067,-37.89M,-,216.38M,-1.92M,-1.228,-4.34M,-2.022,-10.955,-,-,Capital Goods / Construction Services / 
Pan Asian,0.022,0.022,-,26 Jul 2019,4.71M,214.20M,13.09%,-0.01,7.60M,SGD 0.01966,SGD 0.01966,-,0.186,-,0.302,-,-,0.95M,17.713,5.66M,28.70M,2.84M,-7.554,-4.606,-2.85M,-,25.29M,-1.08M,-4.259,-1.22M,-4.852,-12.188,-,-,Basic Materials / Misc. Fabricated Products / 
Excelpoint,0.535,0.535,-,26 Jul 2019,63.81M,119.27M,25.13%,0.09,0.24M,SGD 0.57993,SGD 0.57993,6.076,0.038,4.804,0.591,5.607,5.783,167.84M,-,239.31M,384.08M,20.57M,10.683,1.927,-2.44M,-,"1,671.89M",8.40M,0.643,10.45M,0.625,10.406,2.076,-,Technology / Electronic Instr. & Controls / 
Hiap Seng,0.058,0.058,-,26 Jul 2019,17.62M,303.75M,56.17%,-0.05,0.50M,SGD 0.06547,SGD 0.06547,-,0.120,-,0.856,-,-,21.94M,1.038,26.39M,91.94M,8.36M,-35.904,-30.818,-2.86M,-,146.95M,-18.73M,-21.490,-31.07M,-22.187,-14.359,-,-,Capital Goods / Construction Services / 
ABR,0.700,0.700,-,26 Jul 2019,140.70M,201.00M,8.97%,0.01,0.03M,SGD 0.7456,SGD 0.7456,58.333,1.118,11.596,1.454,3.571,-,-16.47M,0.333,219.09M,126.02M,-77.69M,2.736,2.073,-2.20M,-,125.90M,4.31M,3.276,2.40M,2.345,4.948,-20.612,-,Consumer/Non-Cyclical / Food Processing / 
Tung Lok Rest,0.165,0.165,-,26 Jul 2019,45.28M,274.40M,8.71%,-0.00,0.11M,SGD 0.15894,SGD 0.15894,-,0.562,15.296,2.994,-,-,-9.94M,12.220,35.33M,29.76M,12.13M,-4.490,3.258,-2.10M,-,80.63M,1.05M,1.297,-0.69M,1.255,-5.814,-,-,Services / Restaurants / 
Abundance Intl,0.009,0.009,-,26 Jul 2019,5.78M,642.75M,14.63%,-0.00,0.11M,SGD 0.01402,SGD 0.01402,-,0.010,-,0.204,-,-,-1.65M,35.340,4.13M,55.67M,8.53M,-3.527,-1.210,-0.12M,-,565.16M,0.46M,0.112,-1.02M,-0.180,-,-,-,Services / Printing Services / 
Noel Gifts Intl,0.198,0.198,-,26 Jul 2019,20.29M,102.48M,7.33%,0.03,0.15M,SGD 0.20719,SGD 0.20719,9.677,0.801,7.574,0.614,1.515,-,-10.34M,-,5.83M,38.75M,14.46M,9.212,5.686,-0.40M,-,25.34M,3.44M,9.217,2.10M,8.273,-0.674,-8.767,-,Services / Retail (Specialty) / 
Medtecs Intl,0.028,0.028,-,26 Jul 2019,15.38M,549.41M,65.47%,0.00,2.37M,SGD 0.02737,SGD 0.02737,12.338,0.165,1.973,0.181,-,-,43.79M,9.486,59.18M,112.89M,8.78M,1.471,0.822,-5.31M,-,93.38M,1.19M,1.736,1.25M,1.338,-0.663,3.318,-,Healthcare / Medical Equipment & Supplies / 
Viking Offshore,0.004,0.004,-,26 Jul 2019,4.43M,1.10B,41.86%,-0.03,0.72M,SGD 0.00593,SGD 0.00593,-,0.160,-,0.124,-,-,30.15M,24.037,34.71M,101.81M,3.60M,-55.041,-24.161,-0.13M,-,27.72M,-9.33M,-32.558,-27.63M,-99.690,-23.220,-,-,Energy / Oil Well Services & Equipment / 
Spindex Ind,0.930,0.930,-,26 Jul 2019,107.29M,115.37M,12.36%,0.09,0.12M,SGD 0.8861,SGD 0.8861,6.021,0.683,4.055,0.937,3.226,3.604,-36.15M,-,78.10M,152.78M,29.19M,13.504,11.993,-20.89M,-,157.04M,16.03M,12.628,17.82M,11.347,10.621,14.891,-,Capital Goods / Misc. Capital Goods / 
SHS,0.175,0.175,-,26 Jul 2019,124.36M,685.13M,40.16%,-0.01,2.62M,SGD 0.18427,SGD 0.18524,-,3.284,-,0.647,-,1.599,-16.50M,6.963,110.07M,236.38M,35.48M,-5.756,-7.079,-7.98M,-,37.87M,-14.39M,-43.041,-12.82M,-45.029,-37.064,-,-,Energy / Oil & Gas Operations / 
Colex,0.250,0.250,-,26 Jul 2019,33.13M,132.52M,13.32%,0.02,0.13M,SGD 0.25671,SGD 0.25671,10.259,0.478,5.045,0.804,2.200,-,-19.34M,0.183,13.80M,49.98M,19.46M,8.106,6.619,-3.50M,-,69.30M,3.88M,5.603,3.23M,4.662,5.657,3.437,-,Services / Waste Management Services / 
Transit Concrete,0.105,0.105,-,26 Jul 2019,7.31M,69.59M,13.41%,-0.02,0.08M,SGD 0.15562,SGD 0.15562,-,0.814,-,0.554,9.524,-,-3.45M,-,3.86M,16.79M,3.46M,-22.636,-16.703,-0.23M,-,8.98M,-4.37M,-48.609,-3.53M,-39.285,-19.006,-,-,Capital Goods / Construction Services / 
IP Softcom,0.007,0.007,-,26 Jul 2019,5.12M,732.04M,10.66%,-0.01,0.09M,SGD 0.00711,SGD 0.00711,-,0.157,-,0.112,-,-,0.65M,-,5.77M,56.05M,3.02M,-9.606,-8.220,-1.14M,-,32.68M,-4.45M,-13.628,-4.47M,-14.345,-10.731,-,-,Technology / Software & Programming / 
