names,last price,vol,val traded,address
Hong Fok,0.815,234.7,0.19,https://www2.sgx.com/securities/equities/H30
GuocoLand,1.970,96.4,0.19,https://www2.sgx.com/securities/equities/F17
Frasers Property,1.870,96.3,0.18,https://www2.sgx.com/securities/equities/TQ5
KSH,0.495,364.5,0.18,https://www2.sgx.com/securities/equities/ER0
Far East Orchard,1.220,139.4,0.17,https://www2.sgx.com/securities/equities/O10
Tianjin ZX USD,0.920,171,0.16,https://www2.sgx.com/securities/equities/T14
Healthway Med,0.029,"5,521",0.15,https://www2.sgx.com/securities/equities/5NG
Spackman,0.021,"7,654.3",0.15,https://www2.sgx.com/securities/equities/40E
Chip Eng Seng,0.690,220.7,0.15,https://www2.sgx.com/securities/equities/C29
HMI,0.540,280.1,0.15,https://www2.sgx.com/securities/equities/588
Tuan Sing,0.355,420.9,0.15,https://www2.sgx.com/securities/equities/T24
Synagie,0.091,"1,593",0.15,https://www2.sgx.com/securities/equities/V2Y
Ying Li Intl,0.139,"1,040",0.15,https://www2.sgx.com/securities/equities/5DM
Clearbridge,0.153,"1,672.2",0.26,https://www2.sgx.com/securities/equities/1H3
BreadTalk,0.820,291.3,0.24,https://www2.sgx.com/securities/equities/CTN
Sunpower,0.475,493.5,0.24,https://www2.sgx.com/securities/equities/5GD
Penguin Intl,0.440,548,0.23,https://www2.sgx.com/securities/equities/BTM
Riverstone,0.965,236.1,0.23,https://www2.sgx.com/securities/equities/AP4
Kimly,0.245,889.9,0.21,https://www2.sgx.com/securities/equities/1D0
Metro,1.010,207,0.21,https://www2.sgx.com/securities/equities/M01
Indofood Agri,0.275,419.6,0.12,https://www2.sgx.com/securities/equities/5JS
No Signboard,0.075,"1,594.3",0.11,https://www2.sgx.com/securities/equities/1G6
Bukit Sembawang,5.660,19.7,0.11,https://www2.sgx.com/securities/equities/B61
VICOM,6.700,16.7,0.11,https://www2.sgx.com/securities/equities/V01
Shangri-La HKD,10.540,10.4,0.11,https://www2.sgx.com/securities/equities/S07
Chuan Hup,0.275,380.6,0.11,https://www2.sgx.com/securities/equities/C33
ISDN,0.220,439.8,0.1,https://www2.sgx.com/securities/equities/I07
ISOTeam,0.220,437.8,0.1,https://www2.sgx.com/securities/equities/5WF
China Jinjiang,0.590,159.4,0.09,https://www2.sgx.com/securities/equities/BWM
QAF,0.770,121.2,0.09,https://www2.sgx.com/securities/equities/Q01
Isetan,3.510,26.4,0.09,https://www2.sgx.com/securities/equities/I15
Zhongmin Baihui,0.725,122.7,0.09,https://www2.sgx.com/securities/equities/5SR
GL,0.775,117.8,0.09,https://www2.sgx.com/securities/equities/B16
SingTel 10,3.130,28.84,0.09,https://www2.sgx.com/securities/equities/Z77
SingHoldings,0.390,225.1,0.09,https://www2.sgx.com/securities/equities/5IC
Hotung Inv,1.770,47.6,0.08,https://www2.sgx.com/securities/equities/BLS
Gallant Venture,0.132,637.8,0.08,https://www2.sgx.com/securities/equities/5IG
Keong Hong,0.470,166.4,0.08,https://www2.sgx.com/securities/equities/5TT
Uni-Asia Grp,1.100,127.8,0.14,https://www2.sgx.com/securities/equities/CHJ
Y Ventures,0.102,"1,296.7",0.13,https://www2.sgx.com/securities/equities/1F1
Sino Grandness,0.057,"2,293.4",0.13,https://www2.sgx.com/securities/equities/T4B
Mirach Energy,0.195,636.4,0.12,https://www2.sgx.com/securities/equities/AWO
Great Eastern,25.900,4.7,0.12,https://www2.sgx.com/securities/equities/G07
Creative,3.710,31.95,0.12,https://www2.sgx.com/securities/equities/C76
Boardroom,0.880,134.8,0.12,https://www2.sgx.com/securities/equities/B10
HPL,3.800,19.3,0.07,https://www2.sgx.com/securities/equities/H15
Jumbo,0.400,176.4,0.07,https://www2.sgx.com/securities/equities/42R
Lum Chang,0.345,204.8,0.07,https://www2.sgx.com/securities/equities/L19
Global Inv,0.131,528.9,0.07,https://www2.sgx.com/securities/equities/B73
Winas,0.120,553.5,0.07,https://www2.sgx.com/securities/equities/5CN
Avi-Tech,0.265,234,0.06,https://www2.sgx.com/securities/equities/BKY
KrisEnergy,0.034,"1,869.6",0.06,https://www2.sgx.com/securities/equities/SK3
Delong,5.890,10.7,0.06,https://www2.sgx.com/securities/equities/BQO
SingMedical,0.415,150,0.06,https://www2.sgx.com/securities/equities/5OT
Pacific Century,0.360,175,0.06,https://www2.sgx.com/securities/equities/P15
PanUnited,0.285,219.4,0.06,https://www2.sgx.com/securities/equities/P52
GSS Energy,0.081,740.6,0.06,https://www2.sgx.com/securities/equities/41F
Sing Inv & Fin,1.470,41,0.06,https://www2.sgx.com/securities/equities/S35
Straits Trading,2.210,26.9,0.06,https://www2.sgx.com/securities/equities/S20
JEP,0.152,382.3,0.06,https://www2.sgx.com/securities/equities/1J4
Fragrance,0.130,442,0.06,https://www2.sgx.com/securities/equities/F31
HRnetGroup,0.740,76.2,0.06,https://www2.sgx.com/securities/equities/CHZ
Hwa Hong,0.310,180.1,0.06,https://www2.sgx.com/securities/equities/H19
InnoTek,0.545,139.8,0.08,https://www2.sgx.com/securities/equities/M14
Moya Asia,0.078,960.7,0.08,https://www2.sgx.com/securities/equities/5WE
Yoma Strategic,0.330,229.6,0.07,https://www2.sgx.com/securities/equities/Z59
800 Super,0.890,83.7,0.07,https://www2.sgx.com/securities/equities/5TG
UIC,3.080,24,0.07,https://www2.sgx.com/securities/equities/U06
Tiong Woon,0.285,262.3,0.07,https://www2.sgx.com/securities/equities/BQM
Halcyon Agri,0.500,147.7,0.07,https://www2.sgx.com/securities/equities/5VJ
Second Chance,0.240,305.5,0.07,https://www2.sgx.com/securities/equities/528
Procurri,0.305,133.5,0.04,https://www2.sgx.com/securities/equities/BVQ
GSH,0.280,144,0.04,https://www2.sgx.com/securities/equities/BDX
Hong Leong Asia,0.560,72,0.04,https://www2.sgx.com/securities/equities/H22
Jiutian Chemical,0.017,"2,265",0.04,https://www2.sgx.com/securities/equities/C8R
JB Foods,0.665,57,0.04,https://www2.sgx.com/securities/equities/BEW
Perennial Hldgs,0.640,60.4,0.04,https://www2.sgx.com/securities/equities/40S
Alpha Energy,0.056,638.1,0.04,https://www2.sgx.com/securities/equities/5TS
G K Goh,0.855,42.8,0.04,https://www2.sgx.com/securities/equities/G41
Hatten Land,0.106,335.1,0.04,https://www2.sgx.com/securities/equities/PH0
MM2 Asia,0.245,143,0.04,https://www2.sgx.com/securities/equities/1B0
AusGroup,0.027,"1,300",0.04,https://www2.sgx.com/securities/equities/5GJ
MindChamps,0.665,52.2,0.03,https://www2.sgx.com/securities/equities/CNE
IX Biopharma,0.210,170,0.03,https://www2.sgx.com/securities/equities/42C
